PCTCODE,Deval Patrick,Tom Steyer,Pete Buttigieg,Amy Klobuchar,Julian Castro,John K. Delaney,Marianne Williamson,Bernie Sanders,Andrew Yang,Elizabeth Warren,Tulsi Gabbard,Michael R. Bloomberg,Joseph Biden,Uncommitted,Cory Booker,Michael Bennet,Total
1360,0,0,4,7,0,0,0,202,3,86,1,25,79,0,0,0,407
1365,0,0,4,37,1,2,0,612,0,396,5,46,318,5,0,0,1426
1370,0,1,10,36,0,0,0,494,1,446,2,56,310,0,0,0,1356
1375,0,1,7,33,0,0,0,545,2,384,2,34,242,2,0,0,1252
1380,0,3,10,36,0,0,0,398,0,267,2,42,246,1,0,0,1005
1385,1,2,10,12,0,0,2,631,3,327,1,49,188,4,0,1,1231
1390,0,0,8,13,0,0,0,725,2,179,3,14,113,0,0,2,1059
1395,1,0,2,7,0,0,1,404,3,190,5,34,140,2,0,1,790
1400,0,0,8,17,1,0,0,748,2,300,3,30,160,2,0,0,1271
1405,0,0,2,9,0,0,0,226,1,113,0,14,101,2,0,0,468
1410,0,1,6,18,0,0,0,362,0,239,2,31,109,4,0,0,772
1415,0,0,14,23,0,0,0,426,0,275,2,18,174,3,0,0,935
1420,0,0,5,12,0,0,0,765,7,166,7,21,112,3,0,0,1098
1425,0,0,4,5,0,0,0,521,10,81,4,20,124,2,0,0,771
1430,0,0,11,28,0,0,0,786,1,307,6,37,230,2,0,0,1408
1435,0,0,7,27,0,0,0,347,1,197,3,32,164,1,0,0,779
1440,0,0,1,9,0,0,0,324,4,66,0,10,65,1,0,0,480
1445,0,0,12,39,0,0,1,518,3,620,3,65,425,2,0,0,1688
1450,0,0,6,20,0,0,0,307,0,132,3,13,100,2,0,0,583
1455,0,0,4,11,0,0,0,835,8,190,5,41,228,3,0,0,1325
1456,0,0,5,26,0,0,0,320,4,291,1,25,179,2,0,0,853
1460,0,0,2,6,0,0,0,616,8,130,7,39,207,0,0,0,1015
1465,0,0,11,40,0,0,0,834,3,329,1,39,253,1,0,0,1511
1470,0,0,31,128,0,0,0,691,2,419,5,96,474,0,1,0,1847
1475,0,0,4,21,1,0,0,276,1,134,0,28,134,3,1,1,604
1480,0,1,7,39,0,0,0,446,1,248,3,32,185,1,0,0,963
1485,0,1,7,21,0,0,0,888,4,391,4,25,258,0,0,0,1599
1490,0,2,22,47,0,0,0,290,3,287,1,78,408,1,0,0,1139
1495,0,0,16,37,0,0,0,199,2,206,4,70,294,1,1,1,831
1500,0,0,33,119,0,0,0,312,3,312,2,102,589,2,1,0,1475
1501,0,1,4,9,1,0,0,322,1,118,1,14,77,0,0,0,548
1502,0,0,14,26,0,0,0,180,0,190,1,40,267,0,0,0,718
1503,0,1,12,23,1,0,0,152,0,87,0,54,137,0,0,1,468
1504,0,1,3,4,0,0,0,467,7,90,2,16,85,2,1,0,678
1505,0,1,5,14,0,0,0,211,0,67,0,33,169,0,0,0,500
1510,0,1,8,12,0,0,1,328,5,120,1,50,231,4,1,0,762
1515,0,0,3,8,1,1,0,169,1,46,1,14,78,0,2,1,325
1520,0,0,11,15,0,0,0,422,4,233,5,53,261,1,0,2,1007
1525,0,0,13,5,0,0,1,370,0,140,1,33,216,2,0,4,785
1530,0,0,4,8,0,1,0,238,1,91,3,41,158,2,3,1,551
1535,1,0,5,24,0,0,1,287,3,206,4,40,209,2,1,1,784
1540,1,0,9,15,0,0,1,316,0,194,1,31,192,1,0,2,763
1555,0,1,3,14,0,1,0,239,3,91,1,32,205,2,0,1,593
1560,0,0,5,10,0,0,0,203,2,76,2,35,122,2,1,3,461
1565,0,0,1,6,0,3,0,182,3,46,1,28,102,1,1,0,374
1570,0,0,2,7,0,0,0,208,3,99,0,33,161,2,1,0,516
1575,0,0,5,10,0,0,0,180,2,98,1,26,133,0,0,1,456
1580,0,1,1,11,0,1,0,95,0,33,2,27,89,1,0,1,262
1585,0,1,2,3,0,0,0,230,2,65,0,18,139,0,3,0,463
1590,0,0,1,9,0,0,0,239,2,44,0,16,100,2,0,0,413
1595,0,0,5,13,0,0,0,305,3,112,4,18,91,4,0,0,555
1605,0,0,1,8,0,3,0,256,1,125,1,16,85,0,0,0,496
1610,0,0,9,30,0,1,0,604,1,173,2,14,152,1,0,0,987
1615,0,0,4,6,0,3,0,458,2,58,1,23,137,3,0,1,696
1620,0,2,9,23,0,0,0,304,1,82,2,32,158,2,0,1,616
1625,0,0,1,5,0,0,0,194,1,29,3,9,73,0,0,0,315
1630,0,1,4,8,1,0,1,229,1,46,0,5,52,1,1,0,350
1635,0,0,3,26,0,0,1,107,0,29,1,26,82,2,2,0,279
1640,0,0,4,7,2,1,1,236,2,59,2,40,109,3,0,3,469
1642,0,0,9,12,1,0,0,504,2,205,0,16,101,1,0,0,851
1645,0,0,7,16,0,0,0,192,0,173,2,27,221,0,0,0,638
1650,0,1,7,39,0,0,0,146,1,192,0,116,373,3,0,0,878
1655,0,1,14,72,0,0,0,522,2,352,0,115,433,3,1,0,1515
1660,1,1,17,72,0,0,2,296,2,238,2,112,539,2,0,0,1284
1665,0,1,13,32,0,0,0,614,3,240,2,70,277,1,2,0,1255
1670,0,0,27,47,0,1,2,523,4,255,5,53,309,2,0,0,1228
1675,0,0,5,41,0,0,1,143,2,150,2,60,235,0,0,0,639
1680,0,1,45,98,0,0,1,661,1,387,8,144,521,3,0,1,1871
1685,0,1,9,62,0,0,0,547,1,376,3,95,423,5,0,0,1522
1690,0,0,3,4,0,0,0,233,0,106,1,10,73,0,0,0,430
1700,0,2,3,24,1,3,0,282,4,79,1,27,159,2,0,0,587
1705,0,1,9,18,0,0,0,883,4,456,4,35,197,2,0,0,1609
1710,0,0,0,9,0,1,0,396,1,178,1,17,112,4,0,0,719
1715,0,1,11,16,0,0,0,347,3,225,4,31,185,1,1,1,826
1720,0,0,5,36,0,0,0,477,1,396,4,63,396,3,1,0,1382
1725,0,0,7,28,0,0,1,628,8,480,5,35,283,2,0,0,1477
1730,0,0,6,45,0,0,0,604,4,631,1,55,477,5,0,0,1828
1735,0,0,13,26,2,0,0,686,3,528,2,40,319,3,1,1,1624
1750,0,0,4,9,0,0,0,387,1,141,3,12,84,0,0,0,641
1755,0,0,8,17,0,0,0,844,1,497,2,22,165,1,0,1,1558
1760,0,0,5,11,0,3,0,397,1,123,2,25,126,0,0,1,694
1765,0,0,1,2,1,1,0,303,0,55,1,14,60,0,0,0,438
1770,0,0,1,2,0,0,1,202,1,61,1,5,27,1,0,0,302
1775,0,0,4,14,0,0,0,644,2,354,2,30,170,1,0,0,1221
1780,0,0,5,14,0,0,0,362,1,247,3,21,89,0,0,0,742
1785,0,0,1,0,0,1,0,44,0,17,0,3,12,0,0,0,78
1790,0,1,1,5,0,1,0,362,0,96,2,15,85,0,1,0,569
1805,0,0,11,18,0,0,0,785,1,327,11,30,171,1,0,0,1355
1810,0,0,10,10,0,0,0,466,3,203,0,26,146,1,0,0,865
1815,0,0,10,26,0,0,0,373,1,292,5,56,311,1,0,0,1075
1817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1820,0,1,14,15,0,1,0,598,4,310,6,27,184,0,0,0,1160
1825,0,0,6,28,0,0,0,307,2,241,3,41,262,1,0,0,891
1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1830,0,0,16,17,0,0,0,690,5,386,6,26,249,0,0,0,1395
1835,0,0,5,11,0,0,0,678,2,226,2,12,89,1,0,0,1026
1840,0,0,5,7,0,0,0,500,2,191,1,14,73,1,0,0,794
1845,0,1,9,9,0,1,1,876,5,267,5,26,95,3,0,0,1298
1850,0,0,6,12,0,2,0,667,2,260,2,19,125,0,1,0,1096
1855,0,0,13,19,0,0,0,495,3,253,3,38,165,1,0,0,990
1860,0,0,9,36,0,0,0,283,2,313,0,56,319,1,0,0,1019
1865,3,1,12,75,0,0,2,284,2,299,0,63,482,9,0,2,1234
1870,0,1,16,11,0,0,0,389,0,229,2,45,241,1,0,1,936
1875,0,0,6,25,1,0,1,467,3,496,2,67,486,4,0,0,1558
1880,0,0,6,26,0,0,0,196,0,214,1,54,352,1,0,0,850
1885,0,0,12,33,0,0,1,298,2,392,1,63,489,0,0,0,1291
1890,0,0,15,31,0,0,0,292,1,309,0,62,429,3,0,0,1142
1895,0,0,6,20,0,0,0,318,3,267,3,40,315,1,0,0,973
1900,0,0,4,12,0,0,0,201,0,106,1,22,125,1,0,0,472
1902,0,0,10,18,0,0,0,218,1,216,3,52,304,4,0,0,826
1905,0,1,5,28,0,0,0,532,1,495,0,40,338,3,0,1,1444
1910,0,0,5,36,0,0,0,426,1,413,3,35,388,0,0,1,1308
1915,1,0,5,54,0,0,1,547,1,467,3,70,449,3,0,1,1602
1920,0,0,7,14,0,1,0,261,2,254,6,41,227,1,0,0,814
1925,0,0,11,31,0,0,0,264,0,351,2,44,290,3,0,0,996
1930,0,0,6,27,0,0,0,224,0,220,1,44,267,2,0,0,791
1935,0,0,0,10,0,0,0,5,0,3,1,10,15,0,1,1,46
1940,0,0,3,7,0,0,0,316,2,210,0,13,137,0,1,0,689
1945,0,0,8,19,0,0,0,372,2,303,3,24,197,1,0,1,930
1950,0,1,1,20,0,0,0,357,2,201,1,33,248,1,0,0,865
1955,0,1,5,21,0,0,0,282,1,226,3,36,220,0,1,0,796
1956,0,2,12,55,1,0,0,586,2,487,0,67,296,2,1,4,1515
1957,0,0,5,16,0,0,0,174,0,191,1,32,206,2,0,0,627
1960,0,0,12,44,0,0,0,328,2,205,1,68,371,0,0,0,1031
1965,0,0,8,28,0,0,0,147,2,196,3,50,301,0,0,0,735
1970,0,0,14,38,0,0,2,210,0,219,0,80,400,2,0,0,965
1975,0,0,8,37,0,0,1,254,2,265,3,56,328,0,1,0,955
1980,0,0,10,37,1,0,0,168,1,221,1,67,399,0,0,0,905
1985,0,0,3,63,0,0,0,217,1,291,3,91,520,0,1,0,1190
1990,0,0,12,64,0,1,1,335,0,389,3,94,673,3,1,0,1576
1995,0,0,7,25,0,0,0,188,0,296,4,62,427,3,1,0,1013
2000,0,0,11,48,0,0,0,371,1,341,4,75,442,1,0,0,1294
2005,0,0,6,15,0,0,0,146,2,185,1,53,288,1,0,0,697
2010,0,1,9,31,0,0,0,183,0,218,1,53,427,0,0,0,923
2015,0,0,7,17,0,0,0,128,0,177,1,46,294,1,0,0,671
2020,0,0,6,63,0,0,0,164,0,252,2,58,439,2,0,0,986
